username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;imagelinks
randihubbell;2014-11-12 09:27;0;1;"Got some new specs today. #BadSelfie pic.twitter.com/OAn0yp9I4S";;;#BadSelfie;"532381768125403136";https://twitter.com/randihubbell/status/532381768125403136;https://pbs.twimg.com/media/B2NmVxiCAAAtHmf.jpg 
aashley_martinn;2014-11-11 06:08;0;0;"Earlier today when I was avoiding class. #badselfie pic.twitter.com/mzL4BT88Gm";;;#badselfie;"531969185363263488";https://twitter.com/aashley_martinn/status/531969185363263488;https://pbs.twimg.com/media/B2HvJmmCIAAvF1-.jpg 
SlideFilm;2014-11-07 20:59;0;2;"Five slow sore miles today in the rain! #badselfie #selfie #soaked #running Needs coffee, now! #coffeeaday pic.twitter.com/EmerpDKcwr";Endwell, NY;;#badselfie #selfie #soaked #running #coffeeaday;"530743960726417409";https://twitter.com/SlideFilm/status/530743960726417409;https://pbs.twimg.com/media/B12U0cCIUAAZ7Zo.jpg 
celestelooove;2014-11-06 07:45;0;3;"Take me back to the best moment of my life with one of my favorite country singer! #BadSelfie pic.twitter.com/CWweFN8aFr";;;#BadSelfie;"530181587309051906";https://twitter.com/celestelooove/status/530181587309051906;https://pbs.twimg.com/media/B1uVVlQCQAECpvX.jpg 
ajwilsonJP;2014-11-05 03:38;0;0;"#teamtraining 1000 1% is better than 1 1 100% #badselfie pic.twitter.com/XMbuM4hpk0";;;#teamtraining #badselfie;"529757068929269761";https://twitter.com/ajwilsonJP/status/529757068929269761;https://pbs.twimg.com/media/B1oTO59CEAETL5R.jpg https://pbs.twimg.com/media/B1oTOw3CAAEeFVB.jpg 
Jessica_OneMK;2014-11-01 19:26;0;1;"I got a little too excited meeting @GregJRutherford read why here http:// bit.ly/1rJauOJ #badselfie #sunineyes pic.twitter.com/JhsH6F7NIR";Milton Keynes, England;@GregJRutherford;#badselfie #sunineyes;"528546016237473792";https://twitter.com/Jessica_OneMK/status/528546016237473792;https://pbs.twimg.com/media/B1XFzLXCcAENGqL.jpg 
sassthathoopy;2014-11-01 12:10;0;1;"#Badselfie pic.twitter.com/FfiIo8Hp88";;;#Badselfie;"528436478255595520";https://twitter.com/sassthathoopy/status/528436478255595520;https://pbs.twimg.com/media/B1ViKlMIcAA7UO2.jpg 
dreamsk8pink;2014-11-01 03:43;0;0;"Happy Halloween. #badselfie #fox pic.twitter.com/h3UiiXl53G";;;#badselfie #fox;"528308689384775681";https://twitter.com/dreamsk8pink/status/528308689384775681;https://pbs.twimg.com/media/B1Tt8dEIQAAdN__.jpg 
realBPMjunkies;2014-10-29 00:46;0;0;"What you saying?? We're #beautiful #badselfie haha.. Rolling ---{BPM]=] pic.twitter.com/695BYpknDv";;;#beautiful #badselfie;"527177197682188288";https://twitter.com/realBPMjunkies/status/527177197682188288;https://pbs.twimg.com/media/B1Do279IIAAD6wc.jpg 
johannespunkt;2014-10-28 22:50;0;1;"@numbflux: #badselfie pic.twitter.com/sQbK5RepLK";;@numbflux;#badselfie;"527147949479182339";https://twitter.com/johannespunkt/status/527147949479182339;https://pbs.twimg.com/media/B1DOQ--IYAEDNf3.jpg 
SMARIAHHHHHHHHH;2014-10-28 11:45;0;2;"Sleeping schedule ruined forever basically. #badselfie pic.twitter.com/VX97L0qLyl";;;#badselfie;"526980477316366338";https://twitter.com/SMARIAHHHHHHHHH/status/526980477316366338;https://pbs.twimg.com/media/B1A179eCEAIYadj.jpg 
LIPSappTurntUp;2014-10-27 06:29;0;1;"Maybe I'll get drunk again #edsheeran #bf #drunk #ginger #fierce #badselfie #excusemyface #mondayiscoming #help ... pic.twitter.com/yCjUh82QD0";;;#edsheeran #bf #drunk #ginger #fierce #badselfie #excusemyface #mondayiscoming #help;"526538649366958080";https://twitter.com/LIPSappTurntUp/status/526538649366958080;https://pbs.twimg.com/media/B06kHJWIUAARtao.jpg 
devenEllecia;2014-10-27 00:11;0;4;"#ss #bedselfie #badselfie pic.twitter.com/5bCxGS9sCe";;;#ss #bedselfie #badselfie;"526443433519755264";https://twitter.com/devenEllecia/status/526443433519755264;https://pbs.twimg.com/media/B05NgJmIIAENu7l.jpg 
LillyLex11;2014-10-26 09:14;0;1;"#bestselfieever #mamasboy #oopsie #badselfie pic.twitter.com/BcPiZO6Y9m";;;#bestselfieever #mamasboy #oopsie #badselfie;"526217768761569280";https://twitter.com/LillyLex11/status/526217768761569280;https://pbs.twimg.com/media/B02AORVIUAADucl.jpg 
NK_Performance;2014-10-26 00:55;1;1;"If you need to find us, follow your ears to the music. We are next to the DJ in the tent. #HOSR #badselfie pic.twitter.com/EX8ym2mY5q";;;#HOSR #badselfie;"526092197830352897";https://twitter.com/NK_Performance/status/526092197830352897;https://pbs.twimg.com/media/B00ODsLIAAA-wZj.jpg 
myovercriss;2014-10-24 22:36;1;0;"@chordoverstreet #Badselfie the camera won't stop moving. pic.twitter.com/ybRKcKYEAn";;@chordoverstreet;#Badselfie;"525694710145622016";https://twitter.com/myovercriss/status/525694710145622016;https://pbs.twimg.com/media/B0ukjRdIYAIH2Jn.jpg 
trentfraseryqr;2014-10-24 06:31;0;5;"#grandbaby London & I taking a selfie - she is a ham. #badselfie pic.twitter.com/fuqfxEhcPa";;;#grandbaby #badselfie;"525451967863484416";https://twitter.com/trentfraseryqr/status/525451967863484416;https://pbs.twimg.com/media/B0rHt_gCUAA-HqG.jpg 
BarnsleyCivic;2014-10-23 23:46;0;0;"We're here! #badselfie #butstillace pic.twitter.com/pgCqL5vFF0";;;#badselfie #butstillace;"525350011560022017";https://twitter.com/BarnsleyCivic/status/525350011560022017;https://pbs.twimg.com/media/B0prCm6IUAELEm8.jpg 
jimboschwartz;2014-10-23 05:54;0;0;"Because is my 21st birthday present, I have to ask. What's your favorite alcoholic drink? #altonbrownlive #badselfie pic.twitter.com/S1JfFqkZHu";;;#altonbrownlive #badselfie;"525080273688748032";https://twitter.com/jimboschwartz/status/525080273688748032;https://pbs.twimg.com/media/B0l1ueDCIAAP50t.jpg 
